DomainId,Name
265,verivox.money.msn.de
266,betamap.msn.co.jp
267,map.msn.co.jp
268,messenger.jp.msn.com
269,house.msn.co.jp
270,journal.msn.co.jp
271,mailmag.msn.co.jp
272,game.msn.co.jp
273,help.msn.co.jp
274,www.hotmail.co.jp
275,computer.msn.co.jp
276,event.msn.co.jp
277,travel.msn.co.jp
278,car.msn.co.jp
279,communities.msn.co.jp
280,pc-magazin.msn.de
281,fortune.msn.co.jp
282,auction.msn.co.jp
283,career.msn.co.jp
284,underwire.msn.com
285,women.msn.com
286,members.msn.fr
287,terraserver.microsoft.com
288,weather.msn.de
289,clip.search.msn.com
290,ie.search.msn.com
291,find.slate.msn.com
292,related.msn.com
293,search.msn.com
294,site.search.msn.com
295,supportservices.msn.com
296,ownership.carpoint.msn.com
297,pets.msn.com
298,free.msn.com
299,install.msn.com
300,cgsupportweb.msn.com
301,getgo.msn.de
302,essentials.msn.com
303,onstage.msn.com
304,export.msnbc.com
305,msnbc.msn.com
306,famulus.msnbc.com
307,update.msn.com
308,works.msn.com
309,archive.msnbc.com
310,msnsales.com
311,holiday.msn.com
312,newsletters.msn.com
313,meinestadt.msn.de
314,learning.msn.de
315,mediacenter.msn.com
316,pictureitproducts.msn.com
317,flirt.msn.de
318,noeastro.horoskope.msn.de
319,totallyfreepaging.mobile.msn.com
320,weblinkwireless.mobile.msn.com
321,pictureit.msn.com
322,mobile.msn.com
323,mobile.mynextel.com
324,nextel-mobile.msn.com
325,airtouch-mobile.msn.com
326,en-camobile.msn.com
327,e-pager.mobile.msn.com
328,preview.msn.com
329,broadband.msn.com
330,hs.msn.com
331,radioshack.msn.com
332,staples.msn.com
333,explorer.msn.com
334,nsync.msn.com
335,presario.compaq.net
336,presario.msn.com
337,dellnet.msn.com
338,msnmember.msn.com
339,mynextel.com
340,www.msn.com
341,chat.msn.com
342,bestbuy.msn.com
343,moneycentral.transpoint.com
344,beta.moneycentral.msn.com
345,entertainment.msn.co.jp
346,hotmail.msn.co.jp
347,data.moneycentral.msn.com
348,members.msn.it
349,moneyvote.msn.co.jp
350,www.advantage.msn.com
351,autocert.carview.msn.de
352,motena.auto.msn.de
353,routing.auto.msn.de
354,mappoint.msn.com
355,love.msn.com
356,member.msn.nl
357,nextgen.mappoint.msn.com
358,www.staysafeonline.com
359,experts.msn.com
360,privacy.msn.com
361,cn.msn.com
362,kids.msn.com
363,www.msn.staysafeonline.com
364,terraserver.homeadvisor.msn.com
365,my.msn.com
366,my.ca.msn.com
367,ifx.homeadvisor.com
368,lmortgage.msretech.com
369,members.msn.no
370,cuna.msretech.com
371,hmortgage.msretech.com
372,homeadvisor.msn.com
373,help.msn.com
374,chase.msretech.com
375,chasesa.msretech.com
376,www.zone.com
377,greetingcards.msn.com
378,health.msn.com
379,character.msn.co.jp
380,kabegami.msn.co.jp
381,www.mgspc.com
382,card.msn.co.jp
383,greetings.msn.co.jp
384,specials.carview.msn.co.uk
385,sms.mobile.msn.com
386,messenger.yupimsn.com
387,condomi.msn.de
388,silicon.msn.de
389,jobscout24.focus.msn.de
390,wap.msn.de
391,music.msn.de
392,latam.yupimsn.com
393,www.msn.cz
394,help.encarta.msn.com
395,entertainment.msn.com
396,members.msn.se
397,k12.msn.com
398,learn.msn.com
399,reference.msn.com
400,dictionary.msn.com
401,extension.msn.com
402,language.msn.com
403,msn.clear.co.uk
404,www.msn.egg.com
405,msn.digita.com
406,education.msn.com
407,encarta.msn.com
408,eng.encarta.com
409,computingcentral.msn.com
410,devices.msn.com
411,cd.encarta.msn.com
412,www.msnusers.com
413,musica.ciudadfutura.com
414,astrologia.ciudadfutura.com
415,winstonsalem.msn.com
416,communities.msn.com
417,moneycentral.communities.msn.com
418,washingtondc.msn.com
419,wichita.msn.com
420,wilkesbarre.msn.com
421,tulsa.msn.com
422,twincities.msn.com
423,utah.msn.com
424,tampabay.msn.com
425,triangle.msn.com
426,tucson.msn.com
427,seattle.msn.com
428,stlouis.msn.com
429,syracuse.msn.com
430,sanantonio.msn.com
